1200  4500
 794  222 4.28907
 107  933 7.51542
1167  274 6.89302
 352  511 1.12905
 810 1195 1.04311
1060   25 1.22002
 191  182 6.60383
1020   76 0.625067
 208 1100 9.40309
1013  912 3.04724
 559  181 2.53755
1172  661 6.89741
 798  406 5.42184
 166  729 9.58343
 345  479 5.00256
1044  163 5.19803
   8 1152 3.91108
 912  474 3.20103
 272  925 7.27141
 961  822 6.62854
 547  322 7.778
1118  170 8.44712
 907 1148 1.76509
 457  345 1.15416
 949  555 2.60347
 708  182 8.42971
 982  262 3.90167
 825 1021 5.13913
 599  888 4.3705
 148  554 2.04002
1158   44 7.12588
1021  279 7.60985
 411  322 8.33164
1126  752 6.24217
 158  843 7.71158
 685  903 2.84214
 993  291 5.04321
1159  817 0.979259
 453 1159 9.02643
1134  705 8.62884
1101  362 5.99291
 854 1019 5.37404
  54  673 1.06069
 618  332 5.47361
 747  424 1.77736
 951  154 1.89792
 453  600 6.72185
 253 1115 2.77497
 429   47 4.0724
 509  151 3.06428
1050  974 3.65838
 131   73 0.909805
1116  255 5.245
 301  177 3.20374
 302  679 6.2727
 260  705 7.97915
 193  241 4.66493
 518  786 1.78963
 365  217 8.09609
1170    3 6.19408
 326  600 6.56769
 513  830 7.8799
1107   14 2.94657
 358  774 2.00075
 405  571 4.09596
 255 1062 4.46183
1119 1126 6.72067
 269  788 2.64922
 666  304 9.56585
 158 1020 7.90077
 106  852 8.58071
 724   17 7.82355
 342  316 9.05474
 876  271 1.34138
 901  350 1.07699
 231  466 4.43439
 776  248 7.72576
 519 1095 6.75211
 237  949 0.532913
 388  613 1.62557
1025  781 5.56514
 685  912 4.65246
1176  968 9.41651
 139  620 5.63597
 404  332 5.04657
 111  188 4.41625
1198  632 9.43583
 222 1166 1.79478
 664  356 2.34083
  98  535 8.5679
 748  147 7.92237
  87  584 5.48111
 953 1043 8.64193
 527  142 0.712542
1046  373 7.43148
 680  388 9.79452
 951  800 7.69037
 465  688 0.5071
  63  319 5.17153
 514  828 9.74756
 962   91 4.00102
 261  281 2.39565
 159    3 7.67131
 459  606 5.6021
 311  674 5.78885
  79  415 8.33764
1070  180 1.01757
 241  388 8.23565
 973  147 2.84634
 571  902 4.5011
 762  953 5.21463
 354  690 9.35713
 158  106 7.19781
 620  203 3.42467
 939  578 6.25863
 303  825 6.4401
  12  151 1.77736
 657 1090 6.9988
 766  445 4.90983
 359  747 1.68279
 929  516 1.1768
 815  976 7.06387
1184 1057 8.97407
 330  654 8.20953
 612  761 4.56711
 642  889 7.27627
 763   64 7.72681
 791   64 3.92456
 960 1081 7.00629
 864  379 5.21975
 390  599 9.50997
 585 1192 7.75828
1098  358 9.49819
1169  436 0.814306
 300  160 9.60466
 629  629 7.79114
  48  649 4.90219
 233  279 3.85938
  60  367 3.08335
 603  625 5.49666
1036  764 8.48284
 160 1046 7.38608
 773 1040 2.81893
 303  492 5.66079
 231   11 7.44183
 882   34 2.61291
 223  534 5.82624
 398  779 1.97419
 826  993 2.32314
 156  656 0.409126
  52  765 0.868941
 518  596 9.08412
 605  381 4.16763
 326  146 6.15836
